LAMMPS data file from restart file: timestep = 1000000, procs = 16

770 atoms
513 bonds
258 angles

5 atom types
2 bond types
2 angle types

-9.8650000000000002e+00 9.8650000000000002e+00 xlo xhi
-9.8650000000000002e+00 9.8650000000000002e+00 ylo yhi
-9.8650000000000002e+00 9.8650000000000002e+00 zlo zhi

Masses

1 16
2 1
3 16
4 1
5 35.45

Pair Coeffs

1        0.1554253     3.1654919998     # OW
2                0                0     # HW
3      0.098609686    3.11850800058     # OTH
4       4.0458e-05                0     # HTH
5             0.15    4.04468018036     # CLA

Angle Coeffs

1 37.95 113.24
2 38.7434 111.727

Atoms

498 232 2 4.0999999999999998e-01 -5.3635831267367218e+00 -6.9470874927237229e+00 -6.1542227229210971e+00 -1 3 -1
755 232 2 4.0999999999999998e-01 -5.5833760936661196e+00 -6.4141342390071099e+00 -7.6785201355927670e+00 2 -2 -5
310 104 1 -8.1999999999999995e-01 -8.4114753667786353e+00 -6.2046472372401809e+00 -7.2378938248477267e+00 0 3 -2
345 104 2 4.0999999999999998e-01 -7.8545380654844470e+00 -5.4266332044927816e+00 -6.9174112038429021e+00 -2 -4 3
124 42 1 -8.1999999999999995e-01 -5.9196940536652045e+00 -8.3354838775724325e+00 -5.4486447798230415e+00 -3 -5 10
38 104 2 4.0999999999999998e-01 -8.3548936926938087e+00 -6.9208317381779443e+00 -6.5129659567702030e+00 -5 3 4
725 192 2 4.0999999999999998e-01 -9.1787064942625012e+00 -9.0274830241923603e+00 -6.3008836040520961e+00 5 3 2
574 192 1 -8.1999999999999995e-01 -8.6859440226453657e+00 -8.4846844834344104e+00 -5.6154884175992077e+00 12 -5 -5
694 232 1 -8.1999999999999995e-01 -5.2053554560761901e+00 -6.1096706941578338e+00 -6.7510001434467286e+00 -5 4 5
687 134 2 4.0999999999999998e-01 -6.1844445488282407e+00 -7.1730485152599073e+00 -9.7512747605242041e+00 -4 -3 6
194 240 2 4.0999999999999998e-01 -5.0679665860086027e+00 -5.0091445986343643e+00 -9.1253906920179393e+00 8 2 2
718 240 1 -8.1999999999999995e-01 -5.8596869745392608e+00 -5.6075592454387637e+00 -9.3362461253690654e+00 7 2 -1
731 241 2 4.0999999999999998e-01 -8.8026527458218649e+00 -5.4519027122193711e+00 -8.7074673083701430e+00 5 1 -3
387 42 2 4.0999999999999998e-01 -6.9791867255994475e+00 -8.2231479050759546e+00 -5.4178041628319829e+00 -3 -3 -3
251 42 2 4.0999999999999998e-01 -5.5677522924191738e+00 -9.3189092921757890e+00 -5.5765958713312873e+00 -4 -7 -7
425 134 2 4.0999999999999998e-01 -5.6257926071081865e+00 -8.7075625916399915e+00 -9.5056133538283820e+00 -9 1 0
116 2 2 4.0999999999999998e-01 -6.1035419895206444e-01 -8.8977285105408299e+00 -9.3267602720437033e+00 1 1 -6
260 52 2 4.0999999999999998e-01 -3.0193694466981236e+00 -8.9620955431547618e+00 -5.9627264872548373e+00 9 1 3
174 73 2 4.0999999999999998e-01 -3.5844290018130738e+00 -7.0126672039645293e+00 -6.6926565259805404e+00 3 2 3
217 73 1 -8.1999999999999995e-01 -2.6540015188267412e+00 -7.3879016703099412e+00 -6.4994969376161134e+00 3 16 -3
144 73 2 4.0999999999999998e-01 -2.0048781979897665e+00 -6.8858109771439011e+00 -7.1617166814706819e+00 1 13 -9
530 230 2 4.0999999999999998e-01 -3.8474242325706332e+00 -9.1236359815732158e+00 -8.9911765499483352e+00 6 4 -4
253 85 1 -8.1999999999999995e-01 -1.8860194378854716e+00 -5.8714401129497302e+00 -8.4552041626733772e+00 5 2 10
548 85 2 4.0999999999999998e-01 -2.4674769852182825e+00 -5.0793907234219473e+00 -8.6856430691411273e+00 2 1 -5
218 85 2 4.0999999999999998e-01 -8.5362521835840721e-01 -5.6711697596625603e+00 -8.5747039551664717e+00 5 7 6
732 68 2 4.0999999999999998e-01 -2.1569959790644466e+00 -7.2690697250116614e+00 -9.3414996253790807e+00 4 -4 3
688 230 1 -8.1999999999999995e-01 -4.5150649110314642e+00 -8.9788821355584467e+00 -8.2246512604779234e+00 4 3 0
402 230 2 4.0999999999999998e-01 -4.4583408292673470e+00 -9.7514624224433728e+00 -7.5683806792664132e+00 5 -6 -2
459 176 2 4.0999999999999998e-01 -1.8728295558810593e+00 -6.4126245668936219e+00 -4.9538862485861666e+00 4 2 -4
426 119 2 4.0999999999999998e-01 -8.3142742347461098e+00 -3.0566794022613031e-01 -9.1606501293513425e+00 -5 3 10
660 99 2 4.0999999999999998e-01 -6.9401103444103640e+00 -3.3297690925558148e+00 -6.0170586375501696e+00 -8 -3 0
661 221 1 -8.1999999999999995e-01 -9.6281023655552112e+00 -4.7687177338705661e-01 -7.0348382434625236e+00 1 1 1
506 64 2 4.0999999999999998e-01 -4.9642729489070927e+00 -1.1760562017187117e+00 -7.0977282567603366e+00 -6 0 4
295 99 1 -8.1999999999999995e-01 -7.7427700752176625e+00 -3.8193445888263051e+00 -5.6097795338515972e+00 -1 12 -6
597 81 2 4.0999999999999998e-01 -8.4283131878957853e+00 -1.8757658374744135e+00 -7.5986890487992840e+00 -5 2 6
721 241 1 -8.1999999999999995e-01 -9.1361516116036139e+00 -4.8947531737138510e+00 -9.4736098155218578e+00 2 -5 -1
190 64 1 -8.1999999999999995e-01 -5.5330162482220686e+00 -2.0383254671236806e+00 -6.9775391750490634e+00 8 -3 -1
241 81 1 -8.1999999999999995e-01 -7.7263632402116773e+00 -2.1403102553412778e+00 -8.3051311339928091e+00 1 -2 10
488 81 2 4.0999999999999998e-01 -6.8004059544884248e+00 -2.0762834713522742e+00 -7.8153554896692166e+00 12 -10 6
245 162 2 4.0999999999999998e-01 -9.2268701577317671e+00 -3.1232421524653837e+00 -5.3641122903203113e+00 10 -5 -2
54 240 2 4.0999999999999998e-01 -6.3496990610270201e+00 -4.8688625743323932e+00 -9.8429892855518801e+00 0 -2 -7
300 47 2 4.0999999999999998e-01 -1.0767382812499069e+00 -1.2395163583343320e+00 -9.5235652983475809e+00 -3 -6 2
576 222 2 4.0999999999999998e-01 -3.0206214746774407e+00 -4.6258182117161413e+00 -5.2064886914598043e+00 2 -8 -4
100 34 1 -8.1999999999999995e-01 -3.6005000535654128e+00 -3.9898559052184845e+00 -9.6389341319151605e+00 -7 5 -2
450 64 2 4.0999999999999998e-01 -4.9011333982702938e+00 -2.6741607654547863e+00 -6.5087886910056323e+00 8 -2 1
517 173 1 -8.1999999999999995e-01 -2.9201339408119624e+00 -1.4087256584127770e+00 -9.5593908304761488e+00 4 -2 -1
638 173 2 4.0999999999999998e-01 -3.0363516727011186e+00 -1.0158296642168079e+00 -8.5821395393773301e+00 5 4 -4
587 222 2 4.0999999999999998e-01 -4.4482521497891883e+00 -4.7070877656132231e+00 -6.1438617769859487e+00 3 5 -1
616 206 1 -8.1999999999999995e-01 -1.3950201358138041e+00 -1.8206976478610015e+00 -6.0216538171850198e+00 5 -5 1
664 222 1 -8.1999999999999995e-01 -3.7298774459721122e+00 -4.0304269892165294e+00 -5.6951513533584439e+00 -4 -2 3
272 34 2 4.0999999999999998e-01 -3.4219159676356270e+00 -2.9515393869463944e+00 -9.6167939371296782e+00 -4 6 0
672 206 2 4.0999999999999998e-01 -2.2214838614349888e+00 -2.4217167044617387e+00 -5.8432570567294437e+00 0 -2 1
125 206 2 4.0999999999999998e-01 -9.9818556998699703e-01 -1.4121951018105277e+00 -5.1878598132209941e+00 4 8 5
139 47 1 -8.1999999999999995e-01 -8.8197849186725560e-02 -1.1425096522872895e+00 -9.6715223120945950e+00 12 7 4
545 225 2 4.0999999999999998e-01 -9.6299443301187253e+00 -5.3776621227965151e+00 -4.4972395876140752e+00 -3 -1 -6
193 65 1 -8.1999999999999995e-01 -9.5440396224107893e+00 -9.7117173808056148e+00 -3.4137340475129530e+00 3 1 -1
512 195 2 4.0999999999999998e-01 -6.8515805916584096e+00 -5.7849446210242803e+00 -2.8708735267098162e+00 2 2 5
275 9 2 4.0999999999999998e-01 -6.2729250687850788e+00 -7.3428138697489000e+00 -9.5794317266765938e-01 -6 4 -7
25 9 1 -8.1999999999999995e-01 -6.8050157454567541e+00 -6.9900151267050559e+00 -1.8154769658811936e+00 -4 7 0
663 9 2 4.0999999999999998e-01 -7.7151971542530653e+00 -7.3817933247782337e+00 -1.6507133860680343e+00 -3 1 8
360 120 2 4.0999999999999998e-01 -5.3167972136859483e+00 -8.4889118656278502e+00 -3.6975340622510977e+00 0 4 1
684 120 2 4.0999999999999998e-01 -5.2069652001872742e+00 -8.5811422034161673e+00 -2.0890947708951098e+00 -7 0 7
317 192 2 4.0999999999999998e-01 -9.0153619084041345e+00 -8.9340612147198382e+00 -4.7324226492649686e+00 2 12 -5
724 242 1 -8.1999999999999995e-01 -5.2105041671820329e+00 -8.2598696537100569e+00 -1.4814919845648660e-02 0 0 -1
189 194 2 4.0999999999999998e-01 -7.8954543362676919e+00 -9.7631517862509796e+00 -1.7043476970056901e-01 1 4 1
678 65 2 4.0999999999999998e-01 -9.8055301544135478e+00 -9.0099512970728739e+00 -2.7490304732075264e+00 -3 6 8
720 22 2 4.0999999999999998e-01 -9.8316614577989618e+00 -6.3743611867450714e+00 -1.2217756974035094e+00 15 5 -3
128 176 2 4.0999999999999998e-01 -1.2899617199041578e+00 -5.6866845348918691e+00 -3.5486027071406272e+00 8 5 -2
448 150 1 -8.1999999999999995e-01 -5.6105956162440718e-01 -6.8465762874478662e+00 -1.8943461997988902e+00 -4 2 4
161 155 2 4.0999999999999998e-01 -1.3055889097604820e+00 -8.8637745503225442e+00 -2.2324468794677244e+00 9 -2 0
371 155 2 4.0999999999999998e-01 -3.0415099711942295e+00 -8.8270245690303391e+00 -2.2982592780757920e+00 7 -8 1
463 155 1 -8.1999999999999995e-01 -2.1952241189397603e+00 -9.2935839250247021e+00 -1.9846227929439872e+00 -2 2 0
358 120 1 -8.1999999999999995e-01 -4.6353410429317510e+00 -8.5258217836461654e+00 -2.9458086593240167e+00 0 4 1
395 255 2 4.0999999999999998e-01 -4.2122508634908167e+00 -6.6602831605992101e+00 -2.6588899782794786e+00 -3 -1 -9
763 255 1 -8.1999999999999995e-01 -3.9872710805234353e+00 -5.6323104972588585e+00 -2.4437114638478605e+00 -3 -2 0
468 255 2 4.0999999999999998e-01 -3.3682840704619585e+00 -5.2528887801733504e+00 -3.1870157654811102e+00 -5 0 -5
526 176 1 -8.1999999999999995e-01 -1.9686540849870111e+00 -5.5812764653506921e+00 -4.2875929147312037e+00 12 4 -11
447 150 2 4.0999999999999998e-01 -4.2860399759489404e-01 -6.5835120426685805e+00 -8.9016486656908400e-01 -3 0 -1
615 135 2 4.0999999999999998e-01 -2.2234088473216085e+00 -9.7595118093650601e+00 -3.6221995213423386e-01 4 -4 3
583 195 1 -8.1999999999999995e-01 -6.7890504881602389e+00 -4.8223589113682443e+00 -3.2969931262208720e+00 -1 -2 -5
77 195 2 4.0999999999999998e-01 -5.8900338762289355e+00 -4.4021991767216040e+00 -3.1284844853916547e+00 3 6 -4
685 229 1 -8.1999999999999995e-01 -5.9003103216750379e+00 -1.7905957436562445e-01 -2.4056842107864957e+00 5 7 4
404 83 2 4.0999999999999998e-01 -7.4025012752482997e+00 -3.2209048409813850e+00 -5.5896266554371266e-01 5 8 -3
654 99 2 4.0999999999999998e-01 -7.4994747876867223e+00 -4.2879596773065911e+00 -4.7004168513688525e+00 -6 -3 5
50 229 2 4.0999999999999998e-01 -5.8397079242444683e+00 -6.5858245966434303e-01 -1.4595428662431216e+00 -5 7 8
516 179 2 4.0999999999999998e-01 -7.8033226816352972e+00 -3.5095962264018885e+00 -2.6519114824002514e+00 -3 5 -2
357 143 2 4.0999999999999998e-01 -9.7311221437839350e+00 -3.5559471464816022e+00 -6.3274595246968346e-01 -7 -10 8
535 179 1 -8.1999999999999995e-01 -8.0629685880627413e+00 -2.7042705173322941e+00 -2.0253597476139111e+00 -8 -7 3
185 179 2 4.0999999999999998e-01 -8.1351615079267443e+00 -1.7740108062293121e+00 -2.4425072523708562e+00 4 5 -2
166 56 1 -8.1999999999999995e-01 -5.1107343466725412e+00 -1.0394805944269891e+00 -1.2198692515784239e-02 4 5 -8
418 140 1 -8.1999999999999995e-01 -4.3913273212011461e+00 -4.2426365618879052e+00 -3.0355178882824241e-01 0 -6 3
140 82 2 4.0999999999999998e-01 -1.2194718644995770e-01 -3.7283332042935844e+00 -1.3735792164993295e+00 7 -5 2
765 140 2 4.0999999999999998e-01 -4.3585358321051615e+00 -4.7638675592119970e+00 -1.2136894503715594e+00 0 10 -4
536 140 2 4.0999999999999998e-01 -3.4685729347365428e+00 -3.7228254919006281e+00 -1.9439608560121074e-01 4 -1 -2
689 76 2 4.0999999999999998e-01 -6.3235438926152321e-01 -1.3048492537513225e+00 -2.9600378341854627e+00 -4 4 2
556 186 1 -8.1999999999999995e-01 -1.4161612276998399e+00 -1.1919330028227713e+00 -1.5208241441326200e+00 -10 1 10
159 186 2 4.0999999999999998e-01 -1.3756529230467005e+00 -1.9756709321271761e+00 -9.2326432996316887e-01 0 -1 -5
226 76 1 -8.1999999999999995e-01 -4.1041410597887032e-02 -1.3713969295819293e+00 -3.7906713018373610e+00 -8 -2 -4
500 186 2 4.0999999999999998e-01 -1.2186717489698182e+00 -4.0223092138196670e-01 -8.9656489466478873e-01 5 4 4
74 226 2 4.0999999999999998e-01 -2.6165189179400956e+00 -1.2584517630902983e-01 -2.0490215024352625e+00 -5 -2 5
475 159 1 -8.1999999999999995e-01 -6.5838268941683538e+00 -6.8266412622078141e+00 2.4903805858875172e+00 2 1 -6
243 159 2 4.0999999999999998e-01 -6.7334078505291597e+00 -7.3687922417562781e+00 3.3319916616228245e+00 5 2 5
650 159 2 4.0999999999999998e-01 -5.5418517982081044e+00 -6.5566458269827042e+00 2.2733320345463386e+00 3 3 -1
703 235 1 -8.1999999999999995e-01 -8.6700983378379846e+00 -5.2308821932521985e+00 1.6469014994014328e+00 -9 7 -3
653 199 2 4.0999999999999998e-01 -7.7194711996719168e+00 -7.8048095293292032e+00 1.1471908506420121e+00 -3 -9 0
595 199 1 -8.1999999999999995e-01 -8.2758100012657643e+00 -8.3832926360750228e+00 5.0586232871662096e-01 -2 0 2
389 235 2 4.0999999999999998e-01 -7.9411789538518454e+00 -5.8678789830439717e+00 1.9882204437441817e+00 -3 -3 5
393 242 2 4.0999999999999998e-01 -5.1692234844806348e+00 -9.2713432517647298e+00 6.9453917406894300e-02 2 0 -2
287 45 2 4.0999999999999998e-01 -8.3979607525959175e+00 -5.2067894708718114e+00 4.8782129656625139e+00 13 3 -10
96 199 2 4.0999999999999998e-01 -8.9969627986713974e+00 -8.7597700155999991e+00 1.1285745826280522e+00 4 -3 1
28 10 1 -8.1999999999999995e-01 -6.8043189745068426e+00 -7.8976245393142737e+00 4.9074682545482204e+00 6 5 4
492 242 2 4.0999999999999998e-01 -4.4848137910347532e+00 -7.8022967356251325e+00 5.2344785815378980e-01 -3 -3 -2
550 184 1 -8.1999999999999995e-01 -4.0336350268880761e+00 -5.9581821615775379e+00 1.6349750330425192e+00 -4 -3 -3
