x,y_hyd,y_fso,y_wat
0.005,0.0,0.0,0.0
0.015,0.0,0.0,0.0
0.025,0.0,0.0,0.0
0.035,0.0,0.0,0.0
0.045,0.0,0.0,0.0
0.055,0.0,0.0,0.0
0.065,0.0,0.0,0.0
0.07500000000000001,0.0,0.0,0.0
0.08499999999999999,0.0,0.0,0.0
0.095,0.0,0.0,0.0
0.10500000000000001,0.0,0.0,0.0
0.11499999999999999,0.0,0.0,0.0
0.125,0.0,0.0,0.0
0.135,0.0,0.0,0.0
0.14500000000000002,0.0,0.0,0.0
0.155,0.0,0.0,0.0
0.165,0.0,0.0,0.0
0.175,0.0,0.0,0.0
0.185,0.0,0.0,0.0
0.195,0.0,0.0,0.0
0.20500000000000002,0.0,0.0,0.0
0.215,0.0,0.0,0.0
0.225,0.0,0.0,0.0
0.235,0.0,0.0,0.0
0.245,0.0,0.0,0.0
0.255,0.0,0.0,0.0
0.265,0.0,0.0,0.0
0.275,0.0,0.0,0.0
0.28500000000000003,0.0,0.0,0.0
0.295,0.0,0.0,0.0
0.305,0.0,0.0,0.0
0.315,0.0,0.0,0.0
0.325,0.0,0.0,0.0
0.335,0.0,0.0,0.0
0.34500000000000003,0.0,0.0,0.0
0.355,0.0,0.0,0.0
0.365,0.0,0.0,0.0
0.375,0.0,0.0,0.0
0.385,0.0,0.0,0.0
0.395,0.0,0.0,0.0
0.405,0.0,0.0,0.0
0.41500000000000004,0.0,0.0,0.0
0.425,0.0,0.0,0.0
0.435,0.0,0.0,0.0
0.445,0.0,0.0,0.0
0.455,0.0,0.0,0.0
0.465,0.0,0.0,0.0
0.475,0.0,0.0,0.0
0.485,0.0,0.0,0.0
0.495,0.0,0.0,0.0
0.505,0.0,0.0,0.0
0.515,0.0,0.0,0.0
0.525,0.0,0.0,0.0
0.535,0.0,0.0,0.0
0.545,0.0,0.0,0.0
0.555,0.0,0.0,0.0
0.5650000000000001,0.0,0.0,0.0
0.575,0.0,0.0,0.0
0.585,0.0,0.0,0.0
0.595,0.0,0.0,0.0
0.605,0.0,0.0,0.0
0.615,0.0,0.0,0.0
0.625,0.0,0.0,0.0
0.635,0.0,0.0,0.0
0.645,0.0,0.0,0.0
0.655,0.0,0.0,0.0
0.665,0.0,0.0,0.0
0.675,0.0,0.0,0.0
0.685,0.0,0.0,0.0
0.6950000000000001,0.0,0.0,0.0
0.7050000000000001,0.0,0.0,0.0
0.715,0.0,0.0,0.0
0.725,0.0,0.0,0.0
0.735,0.0,0.0,0.0
0.745,0.0,0.0,0.0
0.755,0.0,0.0,0.0
0.765,0.0,0.0,0.0
0.775,0.0,0.0,0.0
0.785,0.0,0.0,0.0
0.795,0.0,0.0,0.0
0.805,0.0,0.0,0.0
0.8150000000000001,0.0,0.0,0.0
0.8250000000000001,0.0,0.0,0.0
0.835,0.0,0.0,0.0
0.845,0.0,0.0,0.0
0.855,0.0,0.0,0.0
0.865,0.0,0.0,0.0
0.875,0.0,0.0,0.0
0.885,0.0,0.0,0.0
0.895,0.0,0.0,0.0
0.905,0.0,0.0,0.0
0.915,0.0,0.0,0.0
0.925,0.0,0.0,0.0
0.935,0.0,0.0,0.0
0.9450000000000001,0.0,0.0,0.0
0.9550000000000001,0.0,0.0,0.0
0.965,0.0,0.0,0.0
0.975,0.0,0.0,0.0
0.985,0.0,0.0,0.0
0.995,0.0,0.0,0.0
1.005,0.0,0.0,0.0
1.0150000000000001,0.0,0.0,0.0
1.025,0.0,0.0,8.901391606871058e-07
1.0350000000000001,0.0,0.0,1.8346379647749511e-06
1.045,0.0,0.0,3.0441400304414002e-06
1.0550000000000002,0.0,0.0,6.1086649271580775e-06
1.065,0.0,0.0,1.1714503152859317e-05
1.0750000000000002,0.0,0.0,2.0609099804305285e-05
1.085,0.0,4.566210045662101e-06,2.7512774516199175e-05
1.0950000000000002,0.0,0.0,4.0620243531202434e-05
1.105,0.0,0.0,5.672428788867145e-05
1.1150000000000002,0.0,0.0,7.309333550771907e-05
1.125,0.0,1.7123287671232877e-06,9.772504892367906e-05
1.1350000000000002,0.0,1.1415525114155251e-06,0.0001281324744509676
1.145,0.0,1.1415525114155251e-06,0.00016375163078930202
1.155,0.0,1.1415525114155251e-06,0.0002148089258534464
1.165,0.0,9.703196347031963e-06,0.0002680066318764949
1.1749999999999998,0.0,1.7123287671232875e-05,0.00033425065231572083
1.185,0.0,1.769406392694064e-05,0.00041751603609480324
1.1949999999999998,0.0,3.1963470319634704e-05,0.0005000407697325506
1.205,0.0,5.536529680365297e-05,0.0006004090563165906
1.2149999999999999,0.0,6.164383561643835e-05,0.0007155903457273321
1.225,0.0,5.479452054794521e-05,0.0008427647314633616
1.2349999999999999,0.0,6.906392694063928e-05,0.0010002310284844532
1.245,0.0,7.648401826484018e-05,0.0011587437486410088
1.255,0.0,0.00011015981735159817,0.0013244727114590127
1.2650000000000001,0.0,0.00013184931506849315,0.0015060203305066319
1.275,0.0,0.00014897260273972603,0.001725884703196347
1.2850000000000001,0.0,0.00016723744292237443,0.0019474410197869102
1.295,0.0,0.0002100456621004566,0.00219965617525549
1.3050000000000002,0.0,0.00023116438356164383,0.0024812119482496195
1.315,0.0,0.00027511415525114156,0.0027539206892802782
1.3250000000000002,0.0,0.0003184931506849315,0.0030591704718417045
1.335,0.0,0.00045947488584474887,0.003384777940856708
1.3450000000000002,0.0,0.00043949771689497715,0.0037298325722983257
1.355,0.0,0.0005079908675799087,0.004120365840400087
1.3650000000000002,0.0,0.0005450913242009132,0.004502480158730159
1.375,0.0,0.0007094748858447489,0.0048999171015438134
1.3850000000000002,0.0,0.0007602739726027398,0.005305888508371385
1.395,0.0,0.0008521689497716895,0.005773449391171994
1.405,0.0,0.000908675799086758,0.006246398673624701
1.415,0.0,0.0010399543378995435,0.006687119482496195
1.4249999999999998,0.0,0.0012482876712328766,0.007191638127853881
1.435,0.0,0.0013105022831050228,0.007663445857795173
1.4449999999999998,0.0,0.0014440639269406392,0.00813784926070885
1.455,0.0,0.0016632420091324202,0.008641036094803219
1.4649999999999999,0.0,0.001898972602739726,0.009180671069797782
1.475,0.0,0.0020062785388127854,0.009643869591215482
1.4849999999999999,0.0,0.0021472602739726026,0.010192168134377039
1.495,0.0,0.0024286529680365297,0.01070698113720374
1.505,0.0,0.002601027397260274,0.01120216351380735
1.5150000000000001,0.0,0.0027819634703196345,0.011704589312894108
1.525,0.0,0.0029297945205479453,0.012193445585996956
1.5350000000000001,0.0,0.003230593607305936,0.012657133344205262
1.545,0.0,0.0035154109589041094,0.013119156338334421
1.5550000000000002,0.0,0.003667808219178082,0.01357393590998043
1.565,0.0,0.003962328767123288,0.014012061045879539
1.5750000000000002,0.0,0.004306506849315069,0.01443564497716895
1.585,0.0,0.004621004566210046,0.014880198140900195
1.5950000000000002,0.0,0.0048909817351598175,0.015276955588171342
1.605,0.0,0.00520148401826484,0.015626114372689716
1.6150000000000002,0.0,0.005484018264840183,0.015947257555990434
1.625,0.0,0.005890410958904109,0.016212362741900414
1.6350000000000002,0.0,0.0063544520547945205,0.016506781365514242
1.645,0.0,0.0065610730593607305,0.01673891063274625
1.6550000000000002,0.0,0.006792237442922375,0.016996140465318547
1.665,0.0,0.007324771689497717,0.017152628288758427
1.6749999999999998,1.7123287671232877e-06,0.007685502283105023,0.017295431071972168
